Id,Name,Address,City,State,Division,Major Group,Industry Group,SIC,Description
90,Lopez LLC,3524 Michael Mission,West Shannonview,Hawaii,E,,422.0,4226.0,"Special Warehousing and Storage, Not Elsewhere Classified"
91,Andrews-Taylor,136 Sarah Parkways,Caseville,Missouri,H,60.0,606.0,6061.0,"Credit Unions, Federally Chartered"
92,Gentry-Lozano,073 Scott Heights Apt. 186,Port James,Mississippi,J,96.0,963.0,9631.0,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
93,"Ballard, Durham and Hawkins",611 Wells Unions Suite 065,Kimside,Michigan,G,57.0,571.0,5712.0,Furniture Stores
94,"Reyes, Yang and Castro",9076 Frederick Falls Suite 248,Stevenland,Tennessee,A,7.0,74.0,742.0,Veterinary Services for Animal Specialties
95,Jefferson-Boyer,00163 Kristine Road Suite 688,New Johnfort,Maine,C,17.0,175.0,1752.0,"Floor Laying and Other Floor Work, Not Elsewhere Classified"
96,Lee-Woods,3806 James Stravenue Apt. 305,Clayfurt,Maine,D,36.0,363.0,3631.0,Household Cooking Equipment
97,"Calderon, Foster and Gomez",14117 Turner Forges,East Connieshire,Iowa,I,80.0,805.0,8051.0,Skilled Nursing Care Facilities
98,Mercado PLC,582 Hughes Lakes,Sanchezhaven,Oregon,D,36.0,363.0,3631.0,Household Cooking Equipment
99,Guerrero and Sons,956 Luis Plains,Johnsonmouth,New Mexico,G,59.0,594.0,5943.0,Stationery Stores
100,"Thomas, Davis and Ray",19941 Mariah Greens Apt. 078,South Jeanette,Ohio,D,20.0,209.0,2098.0,"Macaroni, Spaghetti, Vermicelli, and Noodles"
101,Carrillo-Phillips,6467 Shannon Drives Suite 453,Russellstad,Maine,G,54.0,546.0,5461.0,Retail Bakeries
102,Smith-Williams,77719 Daniel Landing Suite 810,North William,Mississippi,I,87.0,872.0,8721.0,"Accounting, Auditing, and Bookkeeping Services"
103,Wilson-Austin,68717 Chelsea Ridge Apt. 735,Melissatown,Iowa,I,75.0,753.0,7537.0,Automotive Transmission Repair Shops
104,"Castillo, Baker and Rodriguez",043 Franco Mountains,Weberfort,South Dakota,D,33.0,336.0,3365.0,Aluminum Foundries
105,Hughes and Sons,35456 Murphy Radial Suite 138,New Amanda,Louisiana,I,82.0,829.0,8299.0,"Schools and Educational Services, Not Elsewhere Classified"
106,Gordon-Elliott,5909 Kenneth Dale,Lopezborough,New Mexico,A,9.0,91.0,919.0,Miscellaneous Marine Products
107,Berry and Sons,0127 Daniel Via,Hernandezport,Pennsylvania,D,34.0,341.0,3412.0,"Metal Shipping Barrels, Drums, Kegs, and Pails"
108,Davis Ltd,7270 Harris Drive,Lake Angela,Michigan,D,37.0,372.0,3724.0,Aircraft Engines and Engine Parts
109,Jones Group,29878 Day Roads,Port Cheryl,Alaska,G,59.0,598.0,5983.0,Fuel Oil Dealers
110,Cross-Stuart,414 Pollard Plains,New Richardton,Wisconsin,B,14.0,147.0,1474.0,"Potash, Soda, and Borate Minerals"
111,Martinez-Murray,8335 Jessica Lane,Micheleview,Virginia,I,76.0,769.0,7699.0,"Repair Shops and Related Services, Not Elsewhere Classified"
112,"Rivera, Wells and Pacheco",30679 William Drives,Kelleyland,Massachusetts,F,,504.0,5049.0,"Professional Equipment and Supplies, Not Elsewhere Classified"
113,Walker-Dean,726 Michael Keys,Port Jerrystad,Virginia,D,32.0,329.0,3291.0,Abrasive Products
114,"Lee, Mclaughlin and Archer",55833 Justin Tunnel Apt. 068,Michelleside,New Jersey,A,1.0,13.0,139.0,"Field Crops, Except Cash Grains, Not Elsewhere Classified"
115,"Huffman, White and Martin",69948 Aguilar Ford,Georgechester,Idaho,D,20.0,207.0,2074.0,Cottonseed Oil Mills
116,Johnson-Rodriguez,6933 Patricia Green,Gonzalezborough,Pennsylvania,D,34.0,342.0,3423.0,"Hand and Edge Tools, Except Machine Tools and Handsaws"
117,Hunt Group,9347 Bryan Ways,East Matthewmouth,South Dakota,D,29.0,299.0,2992.0,Lubricating Oils and Greases
118,Howard-Webster,16717 Robinson Stravenue,Port Sean,Louisiana,A,2.0,,213.0,Hogs
119,Phillips Inc,3490 Matthew Roads,Teresaton,Nebraska,A,2.0,21.0,214.0,Sheep and Goats
120,Johnson Group,457 Ryan Village Suite 163,Alexanderview,Montana,F,51.0,511.0,5112.0,Stationery and Office Supplies
121,"Johnson, Lindsey and Franklin",,South Jennyborough,West Virginia,D,33.0,331.0,3317.0,Steel Pipe and Tubes
122,Lawrence-Dennis,24230 Ballard Crossroad Suite 583,,,J,94.0,945.0,9451.0,"Administration of Veterans' Affairs, Except Health and Insurance"
123,"Alexander, Vaughn and Carter",148 Medina Locks Apt. 774,Mayerfort,Tennessee,I,72.0,723.0,7231.0,Beauty Shops
124,"Rodriguez, Miller and Russo",92615 Makayla Plaza,Port Philip,Hawaii,B,12.0,123.0,1231.0,Anthracite Mining
125,Beasley-Whitehead,4244 Charles Lake Apt. 269,East Shaunchester,Colorado,H,63.0,637.0,,"Pension, Health, and Welfare Funds"
126,"Morales, Patel and Brewer",58584 John Landing,New Tanya,Louisiana,I,80.0,807.0,8072.0,Dental Laboratories
127,Smith-Taylor,9777 Watson Square,Port Stephanie,Tennessee,F,50.0,509.0,5092.0,Toys and Hobby Goods and Supplies
128,"Zamora, Santiago and Hartman",3146 Tyler Rue Suite 101,Danielleborough,New Hampshire,D,30.0,308.0,3087.0,Custom Compounding of Purchased Plastics Resins
129,Montoya Group,9396 Allen Locks,South Robertton,Maine,D,27.0,275.0,2754.0,"Commercial Printing, Gravure"
130,Brooks Ltd,36574 Burton Crescent,Saraton,Maine,E,40.0,401.0,4011.0,"Railroads, Line-Haul Operating"
131,Perry LLC,89313 Perez Stream Suite 481,Burnsview,Wyoming,J,96.0,965.0,9651.0,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
132,"Dennis, Howell and Waters",853 Carl Lake,Lake Shaunborough,Colorado,F,50.0,506.0,5063.0,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials"
133,Gonzalez-Hayden,70703 Kristy Turnpike,Timothyborough,Maryland,D,26.0,263.0,,Paperboard Mills
134,Adkins Inc,840 Bryan Garden Suite 033,Payneton,Vermont,D,34.0,349.0,3491.0,Industrial Valves
135,Huang-Porter,938 Jay Point Apt. 040,Jenniferchester,New Hampshire,F,51.0,511.0,,Printing and Writing Paper
136,"Smith, Walter and Jordan",0242 Sherri Estates,New Karina,Maine,I,73.0,738.0,7389.0,"Business Services, Not Elsewhere Classified"
137,Foster-Mathis,6043 Carolyn Islands,,Oregon,D,24.0,242.0,2421.0,"Sawmills and Planing Mills, General"
138,Martinez PLC,87798 Lonnie Union Suite 486,North Marieview,Montana,D,35.0,,3523.0,Farm Machinery and Equipment
139,"Lowe, Moore and Hurst",07239 Schmidt Fords Suite 510,Lake Evelyn,Virginia,D,35.0,353.0,3534.0,Elevators and Moving Stairways
140,"Thompson, Diaz and Phillips",5192 Barnes Spurs Apt. 211,South Michaelmouth,Wisconsin,,36.0,364.0,3647.0,Vehicular Lighting Equipment
141,"Ferguson, Anderson and Jones",,South Jenniferbury,Wisconsin,G,59.0,599.0,5994.0,News Dealers and Newsstands
142,Johnson-Patrick,5153 Livingston Cape Apt. 577,Leeshire,North Dakota,D,34.0,342.0,3423.0,"Hand and Edge Tools, Except Machine Tools and Handsaws"
143,"Young, Rivera and Joseph",35685 Green Viaduct,Catherineburgh,Nebraska,D,35.0,356.0,3564.0,Industrial and Commercial Fans and Blowers and Air Purification Equipment
144,"Pitts, Schmidt and Pham",876 Walter Land Apt. 732,Valerieville,Louisiana,D,38.0,382.0,3822.0,Automatic Controls for Regulating Residential and Commercial Environments and Appliances
145,Johnson-Fernandez,888 Johnson Meadows Suite 873,Susanhaven,Tennessee,B,,138.0,1389.0,"Oil and Gas Field Services, Not Elsewhere Classified"
146,"Solomon, Stone and Rogers",4307 Henderson Shoals Suite 762,Port Bradleyhaven,Texas,D,32.0,326.0,3262.0,Vitreous China Table and Kitchen Articles
147,Foster-Simon,95900 Phillips Viaduct,Port Frederick,Texas,D,20.0,203.0,2033.0,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies"
148,"Bridges, Edwards and Mora",29581 Joshua Roads,Michaelhaven,Indiana,I,87.0,871.0,8712.0,Architectural Services
149,"Moran, Jones and Bell",877 Whitaker Port Suite 399,Zacharymouth,Idaho,I,75.0,751.0,7519.0,Utility Trailer and Recreational Vehicle Rental
150,Sanchez-Ross,57859 Benton Lodge Apt. 175,Lake Anthony,Texas,I,70.0,704.0,7041.0,"Organization Hotels and Lodging Houses, on Membership Basis"
151,Hoffman LLC,5412 Laura Plains Apt. 656,Craigmouth,Arkansas,D,28.0,284.0,2842.0,"Specialty Cleaning, Polishing, and Sanitation Preparations"
152,Gilbert PLC,407 Shawn Drive,East Tylerberg,Mississippi,I,80.0,806.0,8069.0,"Specialty Hospitals, Except Psychiatric"
153,Hawkins-Gordon,635 Tammy Mountain Suite 152,Port Penny,Arizona,A,7.0,78.0,783.0,Ornamental Shrub and Tree Services
154,Chang Inc,70295 Hobbs Vista,East Michaelchester,Rhode Island,D,34.0,349.0,3499.0,"Fabricated Metal Products, Not Elsewhere Classified"
155,Bowman-Campbell,13188 Woods Locks,Tonyaville,Maryland,D,34.0,342.0,3429.0,"Hardware, Not Elsewhere Classified"
156,"Thomas, Warren and Washington",6385 Garcia Island,Steventon,Kansas,I,73.0,737.0,,Computer Facilities Management Services
157,"Allen, Taylor and Villa",742 Jacob Village,West Jamesmouth,Louisiana,E,42.0,421.0,,Local Trucking With Storage
158,"Johnson, Fitzpatrick and Harrison",2610 Taylor Ramp,Sheilachester,Massachusetts,I,87.0,873.0,8733.0,Noncommercial Research Organizations
159,Mullins Inc,7223 Willie Square Suite 571,Brandonville,Arkansas,I,75.0,751.0,7515.0,Passenger Car Leasing
160,,9964 Timothy Hollow,Maxwellhaven,Idaho,J,92.0,922.0,9224.0,Fire Protection
161,Todd-Marshall,27762 Heather Freeway,New Brenda,Washington,G,59.0,593.0,5932.0,Used Merchandise Stores
162,Hart-Snyder,35342 Ashley Lake Suite 531,West Jasonland,Delaware,D,37.0,374.0,3743.0,
163,"Clark, Taylor and Curry",82459 Ward Islands,Christinahaven,Georgia,D,28.0,289.0,2895.0,Carbon Black
164,Fuller-Maynard,,South Donnaberg,North Dakota,D,33.0,331.0,3312.0,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills"
165,"Turner, Williams and Jackson",804 Thomas Cape,Christon,Maryland,H,63.0,635.0,6351.0,Surety Insurance
166,"Hart, Johnson and Martinez",1608 Jeremy Meadows Apt. 187,New Cynthia,Iowa,B,14.0,149.0,1499.0,"Miscellaneous Nonmetallic Minerals, Except Fuels"
167,Norman PLC,0648 Alexis Underpass,New James,Utah,D,33.0,332.0,3321.0,Gray and Ductile Iron Foundries
168,Ruiz-Mcdonald,2376 Russell Ford Suite 576,Kanechester,Montana,I,73.0,735.0,7352.0,Medical Equipment Rental and Leasing
169,Hall-Sampson,6725 Lewis Road,New Pamela,North Dakota,F,51.0,515.0,5159.0,"Farm-Product Raw Materials, Not Elsewhere Classified"
170,Brooks Inc,8883 Carlson Extension,North Rebecca,New Mexico,G,59.0,598.0,5984.0,Liquefied Petroleum Gas (Bottled Gas) Dealers
171,Downs-Mcpherson,13677 Brown Estates Suite 245,Lake Joseph,Nevada,D,33.0,335.0,3357.0,Drawing and Insulating of Nonferrous Wire
172,"Johnson, Powell and Ayala",97408 Samantha Neck Apt. 378,East Scott,Mississippi,G,59.0,594.0,5947.0,"Gift, Novelty, and Souvenir Shops"
173,,18090 Lisa Road,Justinfort,New Mexico,I,78.0,783.0,7832.0,"Motion Picture Theaters, Except Drive-In"
174,Villanueva PLC,51304 Thomas Streets,Reynoldsfurt,Montana,D,28.0,286.0,2865.0,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments"
175,Thomas Group,1902 Fisher Spur,East Michael,Missouri,D,20.0,207.0,2075.0,Soybean Oil Mills
176,"Adams, Taylor and Alexander",19470 Moore Mill,Briannaborough,Tennessee,I,87.0,872.0,8721.0,"Accounting, Auditing, and Bookkeeping Services"
177,Smith Ltd,9710 Amanda Roads Suite 741,New Robert,Wyoming,B,12.0,124.0,1241.0,Coal Mining Services
178,Hutchinson and Sons,589 Foster Trace Suite 158,East Kelsey,North Dakota,G,59.0,599.0,5992.0,Florists
179,"Cooper, Fuller and Robbins",124 Kenneth Ville Suite 581,Woodsville,Hawaii,I,86.0,866.0,8661.0,Religious Organizations
180,Morrison-Mendez,8397 Martinez Point,Rebeccafurt,Arizona,F,50.0,502.0,5023.0,Home furnishings
181,Quinn LLC,5275 Russell Trail,South Jocelynmouth,Minnesota,G,56.0,563.0,5632.0,Women's Accessory and Specialty Stores
182,,8887 Baker Divide,Webbland,Kentucky,I,73.0,732.0,7323.0,Credit Reporting Services
183,Walker Ltd,5433 Martin Place,East Nicoleborough,Arizona,D,37.0,376.0,3761.0,Guided Missiles and Space Vehicles
184,Stanley PLC,9359 Walton Stream,New Leroy,Connecticut,G,59.0,594.0,,Luggage and Leather Goods Stores
185,"Lynch, Arnold and Frye",107 Flores Island Suite 920,Port Marthaberg,Wyoming,E,49.0,492.0,4925.0,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or"
186,Butler Group,14841 Crawford Forge Apt. 087,North Saramouth,Kansas,F,51.0,519.0,5199.0,"Nondurable Goods, Not Elsewhere Classified"
187,"Jensen, Robinson and Murphy",4025 Sean Plaza Suite 144,Marissaside,Wyoming,D,32.0,327.0,3273.0,Ready-Mixed Concrete
188,Beltran Inc,754 Banks Mission,Gordontown,Kentucky,A,9.0,91.0,919.0,Miscellaneous Marine Products
189,Friedman-Murphy,083 Barry Centers,New Joshua,Maryland,F,51.0,518.0,5182.0,Wine and Distilled Alcoholic Beverages
190,Martin LLC,6181 Julie Spring Apt. 169,Mitchellburgh,Oregon,D,37.0,376.0,3769.0,"Guided Missile Space Vehicle Parts and Auxiliary Equipment, Not Elsewhere Classified"
191,Clark-Paul,6568 Williams Bridge Apt. 286,Lake Adam,Alaska,,75.0,753.0,7532.0,"Top, Body, and Upholstery Repair Shops and Paint Shops"
192,Moreno Group,5247 Mary Stream Suite 389,,Colorado,E,48.0,483.0,4833.0,Television Broadcasting Stations
193,Spears-Clay,1017 Little Overpass Apt. 451,South John,New Jersey,H,60.0,601.0,6019.0,"Central Reserve Depository Institutions, Not Elsewhere Classified"
194,Martin-Lopez,968 Butler Pine Apt. 627,West Erik,Utah,D,33.0,331.0,3315.0,Steel Wiredrawing and Steel Nails and Spikes
195,Washington-Walsh,734 Nguyen Points,Jonesburgh,Rhode Island,D,37.0,373.0,3731.0,Ship Building and Repairing
196,Tyler Group,03477 Collins Stravenue Apt. 307,Cynthiachester,Kansas,I,70.0,701.0,7011.0,Hotels and Motels
197,Rodgers-Jones,6840 Davis Gardens Apt. 138,North Luisshire,Nevada,A,1.0,11.0,115.0,Corn
198,Orozco and Sons,615 Tina Radial,West Raymondburgh,Georgia,B,12.0,124.0,1241.0,Coal Mining Services
199,"Guzman, Long and Sexton",545 Stone Estate Apt. 336,New Joshua,North Dakota,D,23.0,239.0,2393.0,Textile Bags
